#airframe_info, log_version="1.00", airframe_name="Cirrus SR22 Turbo (3600 GW)", unit_software_part_number="006-B0319-C3", unit_software_version="14.03", system_software_part_number="006-B0764-20", system_id="000000000", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2015-05-13, 08:11:16,  -04:00,       ,             ,             ,   101.6, 30.04,        ,   9.5,   0.00,       ,    0.00,   3.00,  -0.23,   0.01,   0.00, 214.1,      ,  23.1,  22.4,  -7.9,   2.90,   6.07,     4.17,   49.30,    1.01,  31.00,    0.1,   -0.00,   48.26,   48.90,   48.13,   48.82,   48.04,   48.61,   57.06,   66.80,   57.06,   57.06,   57.09,   57.06,   57.08,   57.06,        ,   0,  GPS,  215.7, 115.70, 110.50, 121.900, 127.500,       ,       ,       ,      ,       ,       ,  -14.6,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-05-13, 08:11:16,  -04:00,       ,             ,             ,   101.6, 30.04,        ,   9.5,   0.00,       ,    0.00,   3.00,  -0.23,   0.01,   0.00, 214.1,      ,  23.1,  22.4,  -7.9,   2.90,   6.07,     4.17,   49.30,    1.01,  31.00,    0.1,   -0.00,   48.26,   48.90,   48.13,   48.82,   48.04,   48.61,   57.06,   66.80,   57.06,   57.06,   57.09,   57.06,   57.08,   57.06,        ,   0,  GPS,  215.7, 115.70, 110.50, 121.900, 127.500,       ,       ,       ,      ,       ,       ,  -14.6,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-05-13, 08:11:17,  -04:00,       ,             ,             ,   101.6, 30.04,        ,   9.5,   0.00,       ,    0.00,   3.00,  -0.19,  -0.00,  -0.01, 214.1,      ,  22.9,  22.1,  -8.1,   3.94,   7.61,     2.41,   49.30,    2.00,  30.89,    0.0,   -0.00,   48.27,   48.93,   48.15,   48.82,   48.06,   48.62,   57.13,   66.29,   57.13,   57.13,   57.13,   57.13,   57.13,   57.13,        ,   0,  GPS,  215.7, 115.70, 110.50, 121.900, 127.500,       ,       ,       ,      ,       ,       ,  -14.6,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-05-13, 08:11:18,  -04:00,       ,             ,             ,   101.6, 30.04,        ,   9.5,   0.00,       ,    0.00,   3.01,  -0.25,  -0.02,  -0.00, 214.1,      ,  22.8,  22.1,  -8.2,   4.90,   9.00,     2.84,   49.33,    4.25,  30.95,  105.7,    0.00,   48.27,   48.95,   48.15,   48.84,   48.03,   48.62,   57.06,   79.09,   57.06,   57.06,   57.06,   57.06,   60.04,   57.06,        ,   0,  GPS,  215.7, 115.70, 110.50, 121.900, 127.500,       ,       ,       ,      ,       ,       ,  -14.6,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-05-13, 08:11:19,  -04:00,       ,             ,             ,   101.6, 30.04,        ,   9.5,   0.00,       ,    0.00,   3.01,  -0.22,   0.01,   0.00, 214.1,      ,  22.6,  21.9,  -8.3,   6.19,  10.30,     2.14,   49.35,    4.98,  30.97,   61.3,    0.00,   48.29,   48.96,   48.15,   48.84,   48.04,   48.64,   57.13,   76.86,   57.13,   57.13,   57.13,   57.13,   58.92,   57.13,        ,   0,  GPS,  215.7, 115.70, 110.50, 121.900, 127.500,       ,       ,       ,      ,       ,       ,  -14.6,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-05-13, 08:11:20,  -04:00,       ,             ,             ,   101.6, 30.04,        ,   9.5,   0.00,       ,    0.00,   3.02,  -0.21,  -0.00,   0.00, 214.1,      ,  22.5,  21.7,  -8.5,   7.44,  11.47,     1.67,   49.36,    5.64,  30.97,   55.8,    0.00,   48.30,   48.97,   48.15,   48.84,   48.04,   48.64,   57.10,   75.91,   57.10,   57.10,   57.10,   57.10,   58.73,   57.10,        ,   0,  GPS,  215.7, 115.70, 110.50, 121.900, 127.500,       ,       ,       ,      ,       ,       ,  -14.6,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-05-13, 08:11:21,  -04:00,       ,             ,             ,   101.6, 30.04,        ,   9.5,   0.00,       ,    0.00,   3.02,  -0.22,   0.01,  -0.00, 214.0,      ,  22.7,  22.0,  -8.5,   8.58,  12.54,     1.55,   49.40,    6.13,  30.92,   54.9,    0.00,   48.31,   48.99,   48.17,   48.84,   48.06,   48.63,   57.10,   74.60,   57.10,   57.10,   57.10,   57.10,   57.60,   57.10,        ,   0,  GPS,  215.7, 115.70, 110.50, 121.900, 127.500,       ,       ,       ,      ,       ,       ,  -14.6,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-05-13, 08:11:22,  -04:00,       ,             ,             ,   101.6, 30.04,        ,   9.5,   0.00,       ,    0.00,   3.02,  -0.20,   0.00,  -0.00, 214.0,      ,  23.1,  22.4,  -8.4,   9.65,  13.52,     1.65,   49.44,    5.11,  30.91,   17.4,    0.00,   48.30,   49.02,   48.16,   48.82,   48.06,   48.66,   57.10,   73.82,   57.10,   57.10,   57.10,   57.10,   57.57,   57.10,        ,   0,  GPS,  215.7, 115.70, 110.50, 121.900, 127.500,       ,       ,       ,      ,       ,       ,  -14.6,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-05-13, 08:11:23,  -04:00,       ,             ,             ,   101.6, 30.04,        ,   9.5,   0.00,       ,    0.00,   3.02,  -0.18,   0.00,  -0.00, 214.0,      ,  23.4,  22.7,  -8.5,  10.63,  14.43,     1.83,   49.46,    4.34,  30.90,    1.0,   -0.00,   48.32,   49.05,   48.18,   48.84,   48.06,   48.61,   57.10,   73.20,   57.10,   57.10,   57.10,   57.10,   57.42,   57.10,        ,   0,  GPS,  215.7, 115.70, 110.50, 121.900, 127.500,       ,       ,       ,      ,       ,       ,  -14.6,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2015-05-13, 08:11:24,  -04:00,       ,             ,             ,   101.6, 30.04,        ,   9.5,   0.00,       ,    0.00,   3.02,  -0.19,  -0.04,   0.00, 214.1,      ,  23.4,  22.7,  -8.5,  11.54,  15.26,     1.95,   49.49,    3.70,  30.97,    0.1,   -0.00,   48.30,   49.07,   48.15,   48.84,   48.06,   48.64,   57.10,   72.89,   57.10,   57.10,   57.10,   57.10,   57.90,   57.10,        ,   0,  GPS,  215.7, 115.70, 110.50, 121.900, 127.500,       ,       ,       ,      ,       ,       ,  -14.6,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
