#airframe_info, log_version="1.00", airframe_name="Cirrus SR22 Turbo (3600 GW)", unit_software_part_number="006-B0319-C4", unit_software_version="14.04", system_software_part_number="006-B0764-23", system_id="000000000", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2016-11-19, 15:46:07,  -06:00,       ,   24.5547466,  -81.7561417,    32.9, 30.10,     6.2,  25.2,   0.00,   0.00,  -26.09,   1.01,   0.19,   0.00,  -0.01, 275.0, 276.9,  27.1,  27.9,   6.3,   6.26,  11.12,     4.46,  117.97,   63.77,  15.51, 1318.9,    0.15,  124.33,  116.30,  115.37,  108.13,  109.50,  104.33,  827.20,  779.71,  859.04,  815.84,  887.90,  800.99,  691.11,  802.20,   -74.8,   0,  GPS,  260.8, 111.35, 111.35, 118.200, 119.675,       ,       ,       ,      ,       ,       ,   -5.4,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  77.0,       
2016-11-19, 15:46:07,  -06:00,       ,   24.5547466,  -81.7561417,    32.9, 30.10,     6.2,  25.2,   0.00,   0.00,  -27.46,   1.01,   0.21,  -0.01,  -0.00, 275.0, 276.9,  27.1,  27.9,   6.3,   6.26,  11.12,     4.46,  117.97,   63.77,  15.51, 1318.3,    0.15,  124.33,  116.30,  115.42,  108.17,  109.50,  104.33,  830.76,  782.82,  859.04,  815.84,  892.07,  804.05,  693.79,  802.20,   -74.8,   0,  GPS,  260.8, 111.35, 111.35, 118.200, 119.675,       ,       ,       ,      ,       ,       ,   -5.4,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  77.0,       
2016-11-19, 15:46:08,  -06:00,       ,   24.5547466,  -81.7561417,    34.9, 30.10,     6.0,  25.2,   0.00,   0.00,   -1.05,   1.01,   0.15,  -0.00,   0.01, 275.0, 276.9,  27.3,  28.1,   6.7,   8.12,  13.04,     4.44,  118.13,   63.59,  15.46, 1324.0,    0.15,  125.26,  116.64,  115.79,  108.65,  110.07,  104.80,  861.85,  811.39,  895.91,  846.08,  927.56,  833.71,  718.78,  835.99,   -75.0,   0,  GPS,  260.8, 111.35, 111.35, 118.200, 119.675,       ,       ,       ,      ,       ,       ,   -5.4,      0,  NONE,   NONE,      ,      ,   3.9,     3D, 3704,      ,       ,  77.0,       
2016-11-19, 15:46:09,  -06:00,       ,             ,             ,    34.9, 30.10,        ,  25.2,   0.00,       ,   23.49,   1.04,   0.19,  -0.01,  -0.00, 275.0,      ,  27.4,  28.2,   6.8,   8.12,  13.04,     4.46,  118.30,   63.58,  15.34, 1331.0,    0.15,  125.92,  116.91,  116.03,  108.99,  110.52,  105.18,  881.00,  828.68,  918.84,  867.21,  949.12,  853.36,  733.92,  856.05,        ,   0,  GPS,  260.8, 111.35, 111.35, 118.200, 119.675,       ,       ,       ,      ,       ,       ,   -5.4,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2016-11-19, 15:46:10,  -06:00,       ,   24.5547447,  -81.7561417,    35.9, 30.10,     5.8,  25.2,   0.00,   0.00,   43.87,   1.12,   0.15,  -0.00,   0.00, 275.0, 276.9,  27.5,  28.4,   6.9,  11.43,  16.44,     4.48,  118.56,   63.43,  15.43, 1326.6,    0.15,  126.97,  117.35,  116.53,  109.66,  111.17,  105.77,  911.88,  859.10,  952.14,  896.24,  985.61,  885.45,  761.01,  883.72,   -75.3,   0,  GPS,  260.8, 111.35, 111.35, 118.200, 119.675,       ,       ,       ,      ,       ,       ,   -5.4,      0,  NONE,   NONE,      ,      ,   3.9,     3D, 3704,      ,       ,  77.0,       
2016-11-19, 15:46:11,  -06:00,       ,   24.5547428,  -81.7561417,    33.9, 30.10,     5.8,  25.2,   0.00,   0.00,    4.12,   1.11,   0.15,  -0.01,  -0.01, 275.0, 276.9,  27.6,  28.5,   6.9,  12.89,  17.92,     4.44,  118.73,   63.42,  15.38, 1333.2,    0.15,  127.74,  117.73,  116.94,  110.17,  111.72,  106.29,  932.22,  879.97,  973.55,  918.50, 1011.36,  905.77,  781.91,  903.26,   -75.2,   0,  GPS,  260.8, 111.35, 111.35, 118.200, 119.675,       ,       ,       ,      ,       ,       ,   -5.4,      0,  NONE,   NONE,      ,      ,   7.9,     3D, 3704,      ,       ,  77.0,       
2016-11-19, 15:46:12,  -06:00,       ,   24.5547428,  -81.7561417,    33.9, 30.10,     5.7,  25.2,   0.00,   0.00,  -26.45,   1.14,   0.18,  -0.02,  -0.02, 275.0, 276.9,  27.6,  28.6,   6.8,  14.26,  19.30,     4.42,  118.90,   63.47,  15.25, 1340.1,    0.15,  128.61,  118.11,  117.35,  110.70,  112.30,  106.84,  949.85,  896.77,  995.44,  938.51, 1032.92,  924.08,  798.81,  921.48,   -75.4,   0,  GPS,  260.8, 111.35, 111.35, 118.200, 119.675,       ,       ,       ,      ,       ,       ,   -5.4,      0,  NONE,   NONE,      ,      ,   3.9,     3D, 3704,      ,       ,  77.0,       
2016-11-19, 15:46:13,  -06:00,       ,   24.5547276,  -81.7561646,    34.9, 30.10,    23.5,  25.2,   0.00,   0.00,  -10.82,   1.15,   0.15,  -0.01,  -0.01, 274.9, 276.9,  27.7,  28.6,   6.6,  15.50,  20.56,     4.44,  119.01,   63.45,  15.25, 1340.9,    0.15,  129.55,  118.52,  117.79,  111.25,  112.95,  107.40,  965.64,  913.09, 1014.50,  956.97, 1047.96,  940.01,  814.94,  937.94,   -57.6,   0,  GPS,  260.8, 111.35, 111.35, 118.200, 119.675,       ,       ,       ,      ,       ,       ,   -5.4,      0,  NONE,   NONE,      ,      ,   0.0, 3DDiff, 3704,      ,     37,  86.0,     84
2016-11-19, 15:46:14,  -06:00,       ,   24.5547276,  -81.7561646,    33.9, 30.10,    23.7,  25.2,   0.00,   0.00,  -10.03,   1.12,   0.16,   0.01,   0.01, 274.9, 276.9,  27.7,  28.7,   6.4,  16.65,  21.70,     4.44,  119.10,   63.45,  15.23, 1344.9,    0.15,  130.34,  118.95,  118.23,  111.80,  113.51,  107.96,  977.43,  929.05, 1029.39,  974.09, 1060.51,  956.48,  828.86,  949.51,   -57.4,   0,  GPS,  260.8, 111.35, 111.35, 118.200, 119.675,       ,       ,       ,      ,       ,       ,   -5.4,      0,  NONE,   NONE,      ,      ,   0.0, 3DDiff, 3704,      ,     37,  86.5,     84
2016-11-19, 15:46:15,  -06:00,       ,   24.5547276,  -81.7561646,    33.9, 30.10,    24.5,  25.2,   0.00,   0.00,   -5.04,   1.16,   0.14,  -0.00,   0.00, 274.9, 276.9,  27.7,  28.7,   6.2,  17.69,  22.76,     4.42,  119.15,   63.38,  15.24, 1346.3,    0.15,  131.20,  119.35,  118.67,  112.35,  114.15,  108.52,  985.42,  941.79, 1044.68,  987.53, 1077.88,  968.81,  842.01,  962.10,   -56.6,   0,  GPS,  260.8, 111.35, 111.35, 118.200, 119.675,       ,       ,       ,      ,       ,       ,   -5.4,      0,  NONE,   NONE,      ,      ,  -7.9, 3DDiff, 3704,      ,     38,  87.0,     85
