#airframe_info, log_version="1.00", airframe_name="Cirrus SR22 Turbo (3600 GW)", unit_software_part_number="006-B0319-DE", unit_software_version="15.24", system_software_part_number="006-B0764-37", system_id="000000000", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2019-07-05, 13:49:08,  +00:00,       ,   43.1398621,  -89.3268738,   733.8, 29.88,   867.1,  27.5,   0.00,   0.00,    0.00,   1.14,   0.47,  -0.00,   0.00, 182.4, 273.2,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,    0.00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   752.7,   0,  GPS,  354.0, 112.30, 110.00, 119.300, 121.900,       ,       ,       ,      ,       ,       ,   -2.9,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       , 112.0,       
2019-07-05, 13:49:08,  +00:00,       ,   43.1398621,  -89.3268738,   733.8, 29.88,   867.1,  27.5,   0.00,   0.00,    0.00,   1.14,   0.47,  -0.00,   0.00, 182.4, 273.2,      ,      ,      ,       ,       ,         ,        ,        ,       ,       ,    0.00,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,   752.7,   0,  GPS,  354.0, 112.30, 110.00, 119.300, 121.900,       ,       ,       ,      ,       ,       ,   -2.9,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       , 112.0,       
2019-07-05, 13:49:10,  +00:00,       ,   43.1398697,  -89.3268738,   733.8, 29.88,   866.9,  27.5,   0.00,   0.00,    0.00,   1.15,   0.47,  -0.01,   0.00, 182.4, 273.2,  24.5,  23.8,  -8.7,  13.76,   9.77,     1.18,  180.98,   -0.40,  29.44,    0.0,    0.00,  222.96,  221.14,  216.01,  216.46,  209.34,  196.74,  201.83,  155.11,  182.48,  199.39,  161.07,  171.14,  256.10,  244.50,   752.5,   0,  GPS,  354.0, 112.30, 110.00, 119.300, 121.900,       ,       ,       ,      ,       ,       ,   -2.9,      0,  NONE,   NONE,      ,      ,  -3.9,     3D, 3704,      ,       , 111.5,       
2019-07-05, 13:49:11,  +00:00,       ,   43.1398697,  -89.3268738,   733.8, 29.88,   866.2,  27.5,   0.00,   0.00,    0.00,   1.15,   0.47,  -0.01,  -0.00, 182.4, 273.2,  24.5,  23.9,  -8.9,  15.07,  11.02,     3.23,  180.93,   -0.41,  29.43,    0.0,    0.00,  222.93,  221.11,  215.98,  216.45,  209.32,  196.69,  202.08,  154.87,  182.40,  199.24,  160.70,  171.26,  256.04,  243.97,   751.8,   0,  GPS,  354.0, 112.30, 110.00, 119.300, 121.900,       ,       ,       ,      ,       ,       ,   -2.9,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       , 111.5,       
2019-07-05, 13:49:12,  +00:00,       ,   43.1398697,  -89.3268738,   733.8, 29.88,   866.2,  27.8,   0.00,   0.00,    0.00,   1.14,   0.47,  -0.00,   0.00, 182.4, 273.2,  24.6,  24.0,  -8.7,  16.28,  12.16,     2.76,  180.87,   -0.39,  29.45,    0.0,    0.00,  222.92,  221.09,  215.98,  216.43,  209.31,  196.65,  202.02,  154.81,  182.45,  199.36,  160.89,  171.08,  256.18,  244.12,   751.8,   0,  GPS,  354.0, 112.30, 110.00, 119.300, 121.900,       ,       ,       ,      ,       ,       ,   -2.9,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       , 111.5,       
2019-07-05, 13:49:13,  +00:00,       ,   43.1398697,  -89.3268738,   733.8, 29.88,   866.3,  27.8,   0.00,   0.00,    0.00,   1.13,   0.47,  -0.01,  -0.00, 182.4, 273.2,  24.7,  24.0,  -8.8,  17.39,  13.22,     2.10,  180.82,   -0.39,  29.45,    0.0,    0.00,  222.87,  221.08,  215.95,  216.41,  209.28,  196.66,  201.96,  154.74,  182.48,  199.32,  160.89,  171.04,  256.27,  243.99,   751.8,   0,  GPS,  354.0, 112.30, 110.00, 119.300, 121.900,       ,       ,       ,      ,       ,       ,   -2.9,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       , 111.5,       
2019-07-05, 13:49:14,  +00:00,       ,   43.1398697,  -89.3268738,   733.8, 29.88,   866.3,  27.8,   0.00,   0.00,    0.00,   1.13,   0.48,  -0.01,   0.00, 182.4, 273.2,  24.7,  24.1,  -8.9,  18.42,  15.09,     1.61,  180.79,   -0.40,  29.44,    0.0,    0.00,  222.84,  221.05,  215.92,  216.37,  209.25,  196.65,  201.79,  154.60,  182.43,  199.27,  160.87,  170.89,  256.32,  243.72,   751.8,   0,  GPS,  354.0, 112.30, 110.00, 119.300, 121.900,       ,       ,       ,      ,       ,       ,   -2.9,      0,  NONE,   NONE,      ,      ,   3.9,     3D, 3704,      ,       , 111.5,       
2019-07-05, 13:49:15,  +00:00,       ,   43.1398697,  -89.3268738,   733.8, 29.88,   866.3,  27.8,   0.00,   0.00,    0.00,   1.13,   0.48,  -0.01,  -0.00, 182.4, 273.2,  24.7,  24.1,  -9.0,  19.36,  15.09,     1.44,  180.76,   -0.41,  29.43,    0.0,    0.00,  222.81,  221.03,  215.92,  216.34,  209.23,  196.60,  201.85,  154.42,  182.32,  199.32,  160.51,  171.20,  256.21,  243.26,   751.8,   0,  GPS,  354.0, 112.30, 110.00, 119.300, 121.900,       ,       ,       ,      ,       ,       ,   -2.9,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       , 111.5,       
2019-07-05, 13:49:16,  +00:00,       ,   43.1398697,  -89.3268738,   733.8, 29.88,   866.0,  27.8,   0.00,   0.00,    0.00,   1.14,   0.48,  -0.01,   0.00, 182.4, 273.2,  24.8,  24.1,  -8.9,  20.22,  15.91,     1.40,  180.74,   -0.39,  29.46,    0.0,    0.00,  222.79,  220.99,  215.89,  216.34,  209.20,  196.60,  201.69,  154.39,  182.26,  199.24,  160.77,  170.98,  256.46,  242.72,   751.6,   0,  GPS,  354.0, 112.30, 110.00, 119.300, 121.900,       ,       ,       ,      ,       ,       ,   -2.9,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       , 111.5,       
2019-07-05, 13:49:17,  +00:00,       ,   43.1398697,  -89.3268738,   733.8, 29.88,   867.1,  27.8,   0.00,   0.00,    0.00,   1.14,   0.47,  -0.01,   0.00, 182.4, 273.2,  24.8,  24.1,  -9.0,  21.02,  16.67,     1.32,  180.70,   -0.40,  29.45,    0.0,    0.00,  222.76,  220.99,  215.86,  216.29,  209.16,  196.59,  201.57,  154.24,  182.16,  199.25,  160.74,  170.89,  256.48,  242.38,   752.6,   0,  GPS,  354.0, 112.30, 110.00, 119.300, 121.900,       ,       ,       ,      ,       ,       ,   -2.9,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       , 111.5,       
