#airframe_info, log_version="1.00", airframe_name="Cirrus SR22 Turbo (3600 GW)", unit_software_part_number="006-B0319-DG", unit_software_version="15.26", system_software_part_number="006-B0764-38", system_id="000000000", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2022-10-07, 20:23:13,  +00:00,       ,             ,             ,   850.8, 30.40,        ,  10.5,   0.00,       ,   -0.37,       ,       ,       ,       ,      ,      ,  27.7,  28.7,  -0.6,  45.87,  45.42,     3.53,  157.89,   47.63,  13.89, 1163.1,    0.11,  273.07,  243.14,  270.70,  258.10,  273.61,  258.82, 1083.77, 1113.55, 1115.54,  680.66, 1147.60,  951.76, 1055.89, 1066.92,        ,   0,  GPS,   30.0, 113.85, 110.90, 119.300, 121.900,       ,       ,       ,      ,       ,       ,   -2.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2022-10-07, 20:23:13,  +00:00,       ,             ,             ,   851.8, 30.40,        ,  10.5,   0.00,       ,   -0.37,       ,       ,       ,       ,      ,      ,  27.7,  28.7,  -0.6,  45.87,  45.42,     3.53,  157.89,   47.63,  13.89, 1163.1,    0.11,  273.07,  243.14,  270.70,  258.10,  273.61,  258.82, 1083.77, 1113.55, 1115.54,  680.66, 1147.60,  951.76, 1055.89, 1066.92,        ,   0,  GPS,   30.0, 113.85, 110.90, 119.300, 121.900,       ,       ,       ,      ,       ,       ,   -2.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2022-10-07, 20:23:14,  +00:00,       ,             ,             ,   851.8, 30.40,        ,  10.5,   0.00,       ,   10.60,       ,       ,       ,       ,      ,      ,  27.7,  28.8,  -0.6,  45.86,  45.39,     3.51,  157.75,   48.11,  13.88, 1165.2,    0.11,  273.14,  243.28,  270.81,  258.25,  273.71,  258.93, 1083.37, 1114.75, 1114.99,  677.75, 1147.72,  952.80, 1058.40, 1066.93,        ,   0,  GPS,   30.0, 113.85, 110.90, 119.300, 121.900,       ,       ,       ,      ,       ,       ,   -2.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2022-10-07, 20:23:15,  +00:00,       ,             ,             ,   851.8, 30.40,        ,  10.5,   0.00,       ,    8.56,       ,       ,       ,       ,      ,      ,  27.7,  28.7,  -0.6,  45.86,  45.38,     3.52,  157.67,   47.90,  13.87, 1167.2,    0.11,  273.22,  243.36,  270.88,  258.28,  273.77,  258.97, 1083.32, 1114.39, 1114.34,  677.68, 1147.80,  951.02, 1059.47, 1066.87,        ,   0,  GPS,   30.0, 113.85, 110.90, 119.300, 121.900,       ,       ,       ,      ,       ,       ,   -2.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2022-10-07, 20:23:16,  +00:00,       ,             ,             ,   851.8, 30.40,        ,  10.5,   0.00,       ,    6.52,       ,       ,       ,       ,      ,      ,  27.7,  28.8,  -0.6,  45.86,  45.37,     3.53,  157.65,   47.69,  13.80, 1169.6,    0.11,  273.25,  243.41,  270.94,  258.34,  273.86,  259.05, 1083.22, 1114.25, 1113.71,  689.91, 1145.56,  952.39, 1058.91, 1065.98,        ,   0,  GPS,   30.0, 113.85, 110.90, 119.300, 121.900,       ,       ,       ,      ,       ,       ,   -2.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2022-10-07, 20:23:19,  +00:00,       ,             ,             ,   851.8, 30.40,        ,  10.5,   0.00,       ,    0.90,       ,       ,       ,       ,      ,      ,  27.7,  28.8,  -0.6,  45.86,  45.35,     3.55,  157.63,   47.65,  13.81, 1168.7,    0.11,  273.31,  243.51,  271.00,  258.42,  273.92,  259.09, 1082.45, 1113.26, 1112.50,  683.27, 1144.86,  951.81, 1060.00, 1066.00,        ,   0,  GPS,   30.0, 113.85, 110.90, 119.300, 121.900,       ,       ,       ,      ,       ,       ,   -2.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2022-10-07, 20:23:20,  +00:00,       ,             ,             ,   851.8, 30.40,        ,  10.5,   0.00,       ,    7.02,       ,       ,       ,       ,      ,      ,  27.7,  28.8,  -0.6,  45.86,  45.34,     3.54,  157.60,   48.11,  13.84, 1166.1,    0.11,  273.34,  243.55,  271.05,  258.48,  273.97,  259.15, 1082.58, 1115.12, 1111.42,  678.63, 1144.52,  951.04, 1060.93, 1066.04,        ,   0,  GPS,   30.0, 113.85, 110.90, 119.300, 121.900,       ,       ,       ,      ,       ,       ,   -2.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2022-10-07, 20:23:21,  +00:00,       ,             ,             ,   851.8, 30.40,        ,  10.5,   0.00,       ,   -7.42,       ,       ,       ,       ,      ,      ,  27.7,  28.8,  -0.6,  45.86,  45.33,     3.52,  157.60,   47.80,  13.83, 1170.4,    0.11,  273.40,  243.61,  271.14,  258.52,  274.04,  259.21, 1083.12, 1116.28, 1110.98,  682.21, 1145.20,  950.40, 1060.80, 1066.10,        ,   0,  GPS,   30.0, 113.85, 110.90, 119.300, 121.900,       ,       ,       ,      ,       ,       ,   -2.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2022-10-07, 20:23:22,  +00:00,       ,             ,             ,   850.8, 30.40,        ,  10.5,   0.00,       ,  -26.20,       ,       ,       ,       ,      ,      ,  27.7,  28.8,  -0.7,  45.86,  45.32,     3.53,  157.62,   47.67,  13.81, 1170.8,    0.11,  273.43,  243.68,  271.18,  258.58,  274.10,  259.24, 1082.97, 1115.89, 1110.41,  682.87, 1143.97,  952.17, 1060.35, 1065.10,        ,   0,  GPS,   30.0, 113.85, 110.90, 119.300, 121.900,       ,       ,       ,      ,       ,       ,   -2.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
2022-10-07, 20:23:23,  +00:00,       ,             ,             ,   851.8, 30.40,        ,  10.5,   0.00,       ,  -13.19,       ,       ,       ,       ,      ,      ,  27.7,  28.8,  -0.7,  45.86,  45.31,     3.53,  157.59,   47.77,  13.92, 1161.8,    0.11,  273.46,  243.76,  271.24,  258.61,  274.18,  259.30, 1082.65, 1117.58, 1110.02,  676.50, 1144.11,  951.38, 1062.23, 1065.19,        ,   0,  GPS,   30.0, 113.85, 110.90, 119.300, 121.900,       ,       ,       ,      ,       ,       ,   -2.9,      0,  NONE,   NONE,      ,      ,      , NoSoln, 3704,      ,       ,      ,       
