#airframe_info, log_version="1.00", airframe_name="Cirrus SR22 Turbo (3600 GW)", unit_software_part_number="006-B0319-C3", unit_software_version="14.03", system_software_part_number="006-B0764-20", system_id="2533B14BF", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 TIT1, E1 TIT2,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2015-05-16, 13:15:52,  -05:00,       ,   41.1862602, -112.0162582,  4422.8, 29.77,  4440.9,   8.5,   0.00,   0.00,   -5.29,   1.80,   0.64,  -0.04,   0.02,  14.2, 258.0,  26.5,  26.9,  -2.6,  28.74,  29.04,     4.55,   60.54,   65.55,  15.63, 1072.4,    0.12,   62.00,   59.84,   60.07,   59.52,   59.46,   58.67,  428.26,  376.80,  494.15,  498.34,  521.00,  494.80,  396.82,  471.12,  4386.8,   0,  GPS,  164.3, 115.70, 110.50, 118.700, 121.700,       ,       ,       ,      ,       ,       ,   11.8,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  61.0,       
2015-05-16, 13:15:52,  -05:00,       ,   41.1862602, -112.0162582,  4422.8, 29.77,  4440.9,   8.5,   0.00,   0.00,    0.64,   1.79,   0.67,  -0.03,  -0.01,  14.2, 258.0,  26.6,  26.9,  -2.5,  28.74,  29.04,     4.58,   60.56,   65.65,  15.61, 1074.6,    0.12,   62.09,   59.86,   60.12,   59.54,   59.51,   58.73,  437.66,  379.19,  501.60,  505.37,  529.30,  500.05,  399.50,  479.16,  4386.8,   0,  GPS,  164.3, 115.70, 110.50, 118.700, 121.700,       ,       ,       ,      ,       ,       ,   11.8,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  61.0,       
2015-05-16, 13:15:54,  -05:00,       ,   41.1862602, -112.0162582,  4424.8, 29.77,  4440.9,   8.5,   0.00,   0.00,   47.76,   1.76,   0.66,  -0.05,   0.00,  14.2, 258.0,  27.0,  27.6,  -1.3,  32.22,  32.75,     4.64,   60.78,   66.33,  15.26, 1111.6,    0.12,   63.04,   60.15,   60.70,   60.01,   60.12,   59.11,  516.36,  443.14,  564.57,  564.05,  599.20,  587.13,  458.24,  545.60,  4386.9,   0,  GPS,  164.3, 115.70, 110.50, 118.700, 121.700,       ,       ,       ,      ,       ,       ,   11.8,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  61.0,       
2015-05-16, 13:15:55,  -05:00,       ,   41.1862602, -112.0162582,  4424.8, 29.77,  4441.0,   8.5,   0.00,   0.00,   29.95,   1.71,   0.66,   0.01,   0.00,  14.2, 258.0,  27.2,  27.9,  -0.7,  33.65,  34.35,     4.70,   60.94,   66.56,  15.25, 1121.4,    0.12,   63.62,   60.35,   61.07,   60.32,   60.52,   59.40,  554.14,  483.05,  594.68,  595.86,  632.29,  625.81,  490.46,  576.70,  4387.0,   0,  GPS,  164.3, 115.70, 110.50, 118.700, 121.700,       ,       ,       ,      ,       ,       ,   11.8,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  61.0,       
2015-05-16, 13:15:56,  -05:00,       ,   41.1862602, -112.0162582,  4425.8, 29.77,  4441.2,   8.5,   0.00,   0.00,   33.17,   1.70,   0.65,   0.00,  -0.01,  14.2, 258.0,  27.3,  28.1,  -0.3,  34.96,  35.83,     4.70,   61.11,   66.70,  15.15, 1131.7,    0.12,   64.25,   60.53,   61.47,   60.63,   60.93,   59.69,  583.79,  528.53,  622.49,  623.58,  661.00,  664.76,  523.83,  602.27,  4387.1,   0,  GPS,  164.3, 115.70, 110.50, 118.700, 121.700,       ,       ,       ,      ,       ,       ,   11.8,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  61.0,       
2015-05-16, 13:15:57,  -05:00,       ,   41.1862526, -112.0162582,  4424.8, 29.77,  4441.3,   8.5,   0.00,   0.00,    4.83,   1.70,   0.67,  -0.00,  -0.01,  14.2, 258.0,  27.4,  28.2,   0.2,  36.16,  37.18,     4.73,   61.29,   66.89,  15.10, 1143.3,    0.12,   64.91,   60.73,   61.86,   60.96,   61.39,   60.01,  610.21,  575.38,  647.74,  647.84,  687.33,  695.21,  555.44,  625.87,  4387.3,   0,  GPS,  164.3, 115.70, 110.50, 118.700, 121.700,       ,       ,       ,      ,       ,       ,   11.8,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  61.0,       
2015-05-16, 13:15:58,  -05:00,       ,   41.1862526, -112.0162582,  4423.8, 29.77,  4441.4,   8.5,   0.00,   0.00,  -28.44,   1.63,   0.67,   0.00,   0.00,  14.2, 258.0,  27.5,  28.3,   0.6,  37.26,  38.43,     4.74,   61.49,   67.11,  15.16, 1144.5,    0.13,   65.62,   60.96,   62.31,   61.34,   61.85,   60.37,  635.76,  611.35,  671.26,  670.85,  711.79,  723.32,  581.53,  647.84,  4387.3,   0,  GPS,  164.3, 115.70, 110.50, 118.700, 121.700,       ,       ,       ,      ,       ,       ,   11.8,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  61.0,       
2015-05-16, 13:15:59,  -05:00,       ,   41.1862526, -112.0162582,  4422.8, 29.77,  4441.5,   8.5,   0.00,   0.00,  -40.62,   1.58,   0.67,   0.00,   0.00,  14.2, 258.0,  27.6,  28.4,   0.9,  38.28,  39.58,     4.74,   61.69,   67.25,  15.20, 1152.2,    0.13,   66.36,   61.19,   62.75,   61.71,   62.34,   60.74,  653.71,  639.48,  691.13,  692.77,  735.11,  752.53,  604.90,  665.63,  4387.4,   0,  GPS,  164.3, 115.70, 110.50, 118.700, 121.700,       ,       ,       ,      ,       ,       ,   11.8,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  61.0,       
2015-05-16, 13:16:00,  -05:00,       ,   41.1862526, -112.0162582,  4423.8, 29.77,  4441.5,   8.5,   0.00,   0.00,  -24.17,   1.54,   0.69,  -0.02,  -0.00,  14.2, 258.0,  27.6,  28.5,   1.2,  39.21,  40.32,     4.76,   61.87,   67.28,  15.22, 1150.7,    0.13,   67.11,   61.45,   63.19,   62.12,   62.84,   61.13,  671.17,  668.27,  710.55,  714.19,  756.50,  774.33,  627.11,  683.00,  4387.5,   0,  GPS,  164.3, 115.70, 110.50, 118.700, 121.700,       ,       ,       ,      ,       ,       ,   11.8,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  61.0,       
2015-05-16, 13:16:01,  -05:00,       ,   41.1862526, -112.0162582,  4423.8, 29.77,  4441.7,   8.5,   0.00,   0.00,   -8.14,   1.48,   0.68,  -0.02,   0.01,  14.2, 258.0,  27.7,  28.6,   1.5,  40.03,  40.82,     4.73,   62.06,   67.34,  15.18, 1158.2,    0.13,   67.90,   61.67,   63.68,   62.55,   63.34,   61.48,  687.71,  696.90,  726.78,  734.77,  773.97,  791.77,  648.66,  697.95,  4387.6,   0,  GPS,  164.3, 115.70, 110.50, 118.700, 121.700,       ,       ,       ,      ,       ,       ,   11.8,      0,  NONE,   NONE,      ,      ,   0.0,     3D, 3704,      ,       ,  61.0,       
